"DateTime","(mm) Precipitation (CHIRPS) at TSAILE/WHEATFIELDS, 2019-05-01 to 2019-05-31"
"2019-05-01",0
"2019-05-02",0
"2019-05-03",0
"2019-05-04",0
"2019-05-05",0
"2019-05-06",0.66
"2019-05-07",1.6122
"2019-05-08",5.8486
"2019-05-09",0.5764
"2019-05-10",9.0245
"2019-05-11",0
"2019-05-12",0
"2019-05-13",0
"2019-05-14",0
"2019-05-15",0
"2019-05-16",5.3211
"2019-05-17",0
"2019-05-18",0
"2019-05-19",8.082
"2019-05-20",4.0107
"2019-05-21",0
"2019-05-22",0
"2019-05-23",0
"2019-05-24",0
"2019-05-25",0
"2019-05-26",0.1888
"2019-05-27",0
"2019-05-28",0
"2019-05-29",0
"2019-05-30",1.0008
"2019-05-31",0