"DateTime","(mm) Snow Depth (SNODAS) at 4005, 2017-11-01 to 2019-05-01"
"2017-11-01",0
"2017-11-02",0
"2017-11-03",0
"2017-11-04",0
"2017-11-05",0
"2017-11-06",0
"2017-11-07",0
"2017-11-08",0
"2017-11-09",0
"2017-11-10",0
"2017-11-11",0
"2017-11-12",0
"2017-11-13",0
"2017-11-14",0
"2017-11-15",0
"2017-11-16",0
"2017-11-17",0
"2017-11-18",0.0245
"2017-11-19",0
"2017-11-20",0
"2017-11-21",0
"2017-11-22",0
"2017-11-23",0
"2017-11-24",0
"2017-11-25",0
"2017-11-26",0
"2017-11-27",0
"2017-11-28",0
"2017-11-29",0
"2017-11-30",0
"2017-12-01",0
"2017-12-02",0
"2017-12-03",0
"2017-12-04",0
"2017-12-05",0
"2017-12-06",0
"2017-12-07",0
"2017-12-08",0
"2017-12-09",0
"2017-12-10",0
"2017-12-11",0
"2017-12-12",0
"2017-12-13",0
"2017-12-14",0
"2017-12-15",0
"2017-12-16",0
"2017-12-17",0
"2017-12-18",0
"2017-12-19",0
"2017-12-20",0
"2017-12-21",0
"2017-12-22",3.3595
"2017-12-23",1.5381
"2017-12-24",0.0066
"2017-12-25",0
"2017-12-26",0
"2017-12-27",0
"2017-12-28",0
"2017-12-29",0
"2017-12-30",0
"2017-12-31",0
"2018-01-01",0
"2018-01-02",0
"2018-01-03",0
"2018-01-04",0
"2018-01-05",0
"2018-01-06",0
"2018-01-07",0.0622
"2018-01-08",1.8831
"2018-01-09",1.0679
"2018-01-10",0
"2018-01-11",12.2794
"2018-01-12",10.4139
"2018-01-13",3.5178
"2018-01-14",2.9778
"2018-01-15",2.5096
"2018-01-16",2.0052
"2018-01-17",1.8856
"2018-01-18",1.6714
"2018-01-19",1.4597
"2018-01-20",0.4447
"2018-01-21",10.3411
"2018-01-22",17.3089
"2018-01-23",15.237
"2018-01-24",22.44
"2018-01-25",12.166
"2018-01-26",2.4759
"2018-01-27",1.9475
"2018-01-28",1.7276
"2018-01-29",1.2526
"2018-01-30",1.0447
"2018-01-31",0.5448
"2018-02-01",0.4013
"2018-02-02",0.2474
"2018-02-03",0.1453
"2018-02-04",0.0968
"2018-02-05",0.0696
"2018-02-06",0.052
"2018-02-07",0.1348
"2018-02-08",0.0512
"2018-02-09",0.0423
"2018-02-10",0.0208
"2018-02-11",8.8781
"2018-02-12",5.6745
"2018-02-13",0.3167
"2018-02-14",0.2582
"2018-02-15",4.2843
"2018-02-16",6.5516
"2018-02-17",5.657
"2018-02-18",2.6877
"2018-02-19",0.0728
"2018-02-20",19.0473
"2018-02-21",23.5556
"2018-02-22",19.5053
"2018-02-23",18.6826
"2018-02-24",32.3996
"2018-02-25",25.2397
"2018-02-26",21.2675
"2018-02-27",3.4343
"2018-02-28",0.6034
"2018-03-01",0.5614
"2018-03-02",0.1544
"2018-03-03",0.0327
"2018-03-04",0.0093
"2018-03-05",0.0032
"2018-03-06",0.0021
"2018-03-07",0.0014
"2018-03-08",0.0007
"2018-03-09",0.0001
"2018-03-10",0
"2018-03-11",0.0078
"2018-03-12",1.0759
"2018-03-13",0.978
"2018-03-14",0.5765
"2018-03-15",0
"2018-03-16",4.8012
"2018-03-17",0.5218
"2018-03-18",0.0977
"2018-03-19",12.5195
"2018-03-20",6.2159
"2018-03-21",1.8528
"2018-03-22",0.0228
"2018-03-23",0
"2018-03-24",0
"2018-03-25",0
"2018-03-26",0
"2018-03-27",0.026
"2018-03-28",6.5717
"2018-03-29",0.0065
"2018-03-30",0
"2018-03-31",0
"2018-04-01",0
"2018-04-02",0
"2018-04-03",0
"2018-04-04",0
"2018-04-05",0
"2018-04-06",0
"2018-04-07",0
"2018-04-08",0
"2018-04-09",0
"2018-04-10",0
"2018-04-11",0
"2018-04-12",0
"2018-04-13",0
"2018-04-14",0
"2018-04-15",0
"2018-04-16",0
"2018-04-17",0
"2018-04-18",0
"2018-04-19",0
"2018-04-20",0
"2018-04-21",1.7955
"2018-04-22",0.0013
"2018-04-23",0.0001
"2018-04-24",0
"2018-04-25",0
"2018-04-26",0
"2018-04-27",0
"2018-04-28",0
"2018-04-29",0
"2018-04-30",0
"2018-05-01",0
"2018-05-02",0
"2018-05-03",0.8888
"2018-05-04",0.5308
"2018-05-05",0.0119
"2018-05-06",0.0034
"2018-05-07",0
"2018-05-08",0
"2018-05-09",0
"2018-05-10",0
"2018-05-11",0
"2018-05-12",0
"2018-05-13",0
"2018-05-14",0
"2018-05-15",0
"2018-05-16",0
"2018-05-17",0
"2018-05-18",0
"2018-05-19",0
"2018-05-20",0
"2018-05-21",0
"2018-05-22",0
"2018-05-23",0
"2018-05-24",0
"2018-05-25",0
"2018-05-26",0
"2018-05-27",0
"2018-05-28",0
"2018-05-29",0
"2018-05-30",0
"2018-05-31",0
"2018-06-01",0
"2018-06-02",0
"2018-06-03",0
"2018-06-04",0
"2018-06-05",0
"2018-06-06",0
"2018-06-07",0
"2018-06-08",0
"2018-06-09",0
"2018-06-10",0
"2018-06-11",0
"2018-06-12",0
"2018-06-13",0
"2018-06-14",0
"2018-06-15",0
"2018-06-16",0
"2018-06-17",0
"2018-06-18",0
"2018-06-19",0
"2018-06-20",0
"2018-06-21",0
"2018-06-22",0
"2018-06-23",0
"2018-06-24",0
"2018-06-25",0
"2018-06-26",0
"2018-06-27",0
"2018-06-28",0
"2018-06-29",0
"2018-06-30",0
"2018-07-01",0
"2018-07-02",0
"2018-07-03",0
"2018-07-04",0
"2018-07-05",0
"2018-07-06",0
"2018-07-07",0
"2018-07-08",0
"2018-07-09",0
"2018-07-10",0
"2018-07-11",0
"2018-07-12",0
"2018-07-13",0
"2018-07-14",0
"2018-07-15",0
"2018-07-16",0
"2018-07-17",0
"2018-07-18",0
"2018-07-19",0
"2018-07-20",0
"2018-07-21",0
"2018-07-22",0
"2018-07-23",0
"2018-07-24",0
"2018-07-25",0
"2018-07-26",0
"2018-07-27",0
"2018-07-28",0
"2018-07-29",0
"2018-07-30",0
"2018-07-31",0
"2018-08-01",0
"2018-08-02",0
"2018-08-03",0
"2018-08-04",0
"2018-08-05",0
"2018-08-06",0
"2018-08-07",0
"2018-08-08",0
"2018-08-09",0
"2018-08-10",0
"2018-08-11",0
"2018-08-12",0
"2018-08-13",0
"2018-08-14",0
"2018-08-15",0
"2018-08-16",0
"2018-08-17",0
"2018-08-18",0
"2018-08-19",0
"2018-08-20",0
"2018-08-21",0
"2018-08-22",0
"2018-08-23",0
"2018-08-24",0
"2018-08-25",0
"2018-08-26",0
"2018-08-27",0
"2018-08-28",0
"2018-08-29",0
"2018-08-30",0
"2018-08-31",0
"2018-09-01",0
"2018-09-02",0
"2018-09-03",0
"2018-09-04",0
"2018-09-05",0
"2018-09-06",0
"2018-09-07",0
"2018-09-08",0
"2018-09-09",0
"2018-09-10",0
"2018-09-11",0
"2018-09-12",0
"2018-09-13",0
"2018-09-14",0
"2018-09-15",0
"2018-09-16",0
"2018-09-17",0
"2018-09-18",0
"2018-09-19",0
"2018-09-20",0
"2018-09-21",0
"2018-09-22",0
"2018-09-23",0
"2018-09-24",0
"2018-09-25",0
"2018-09-26",0
"2018-09-27",0
"2018-09-28",0
"2018-09-29",0
"2018-09-30",0
"2018-10-01",0
"2018-10-02",0
"2018-10-03",0
"2018-10-04",0
"2018-10-05",0
"2018-10-06",0
"2018-10-07",0
"2018-10-08",0.0158
"2018-10-09",0.0514
"2018-10-10",0.2249
"2018-10-11",0.0018
"2018-10-12",0.0017
"2018-10-13",0.0017
"2018-10-14",0.0006
"2018-10-15",0.0005
"2018-10-16",0.0399
"2018-10-17",0.9078
"2018-10-18",0.248
"2018-10-19",0.0142
"2018-10-20",0.001
"2018-10-21",0
"2018-10-22",0
"2018-10-23",0
"2018-10-24",0
"2018-10-25",0
"2018-10-26",0
"2018-10-27",0
"2018-10-28",0
"2018-10-29",0
"2018-10-30",0
"2018-10-31",0.628
"2018-11-01",0.2823
"2018-11-02",0.0221
"2018-11-03",0
"2018-11-04",0
"2018-11-05",0
"2018-11-06",0
"2018-11-07",0
"2018-11-08",0
"2018-11-09",0
"2018-11-10",0
"2018-11-11",0
"2018-11-12",0.0046
"2018-11-13",0.9411
"2018-11-14",0.6206
"2018-11-15",0.2917
"2018-11-16",0.0043
"2018-11-17",0
"2018-11-18",0
"2018-11-19",0
"2018-11-20",0
"2018-11-21",0
"2018-11-22",0
"2018-11-23",1.2892
"2018-11-24",0.4744
"2018-11-25",0.0644
"2018-11-26",0.0428
"2018-11-27",0.0259
"2018-11-28",0.0047
"2018-11-29",0
"2018-11-30",0.0259
"2018-12-01",0.0259
"2018-12-02",0.0259
"2018-12-03",62.5313
"2018-12-04",0.0259
"2018-12-05",0.0259
"2018-12-06",0.0259
"2018-12-07",43.1549
"2018-12-08",51.1486
"2018-12-09",0.0259
"2018-12-10",43.7479
"2018-12-11",0.0259
"2018-12-12",30.2604
"2018-12-13",0.0259
"2018-12-14",0.0259
"2018-12-15",0.0259
"2018-12-16",10.3491
"2018-12-17",0.0259
"2018-12-18",0.0259
"2018-12-19",0.0259
"2018-12-20",0.0259
"2018-12-21",0.0259
"2018-12-22",0.0259
"2018-12-23",2.5007
"2018-12-24",0.0259
"2018-12-25",0.0259
"2018-12-26",0.0259
"2018-12-27",0.0259
"2018-12-28",0.0259
"2018-12-29",63.293
"2018-12-30",58.3502
"2018-12-31",0.0259
"2019-01-01",0.0259
"2019-01-02",0.0259
"2019-01-03",0.0259
"2019-01-04",0.0259
"2019-01-05",0.0259
"2019-01-06",97.6139
"2019-01-07",128.5043
"2019-01-08",113.4365
"2019-01-09",104.6376
"2019-01-10",92.8555
"2019-01-11",89.5199
"2019-01-12",82.252
"2019-01-13",80.5656
"2019-01-14",120.378
"2019-01-15",109.0948
"2019-01-16",88.4918
"2019-01-17",65.0574
"2019-01-18",44.1262
"2019-01-19",42.8066
"2019-01-20",39.3807
"2019-01-21",34.256
"2019-01-22",33.7656
"2019-01-23",32.267
"2019-01-24",36.8902
"2019-01-25",32.403
"2019-01-26",30.8007
"2019-01-27",28.7485
"2019-01-28",26.33
"2019-01-29",23.0143
"2019-01-30",22.3665
"2019-01-31",21.7329
"2019-02-01",20.4916
"2019-02-02",19.4548
"2019-02-03",17.1001
"2019-02-04",12.4346
"2019-02-05",10.9512
"2019-02-06",10.9914
"2019-02-07",51.4503
"2019-02-08",45.7209
"2019-02-09",37.6313
"2019-02-10",19.1352
"2019-02-11",16.5201
"2019-02-12",34.3813
"2019-02-13",28.6999
"2019-02-14",17.0301
"2019-02-15",15.3284
"2019-02-16",12.3242
"2019-02-17",23.2821
"2019-02-18",50.412
"2019-02-19",82.3321
"2019-02-20",93.1478
"2019-02-21",88.0129
"2019-02-22",132.7246
"2019-02-23",183.8563
"2019-02-24",167.4611
"2019-02-25",156.9728
"2019-02-26",140.7556
"2019-02-27",99.4058
"2019-02-28",53.145
"2019-03-01",25.0949
"2019-03-02",16.8149
"2019-03-03",15.1295
"2019-03-04",14.7615
"2019-03-05",16.0922
"2019-03-06",14.9489
"2019-03-07",12.1568
"2019-03-08",10.9475
"2019-03-09",13.5212
"2019-03-10",11.773
"2019-03-11",11.3205
"2019-03-12",11.6402
"2019-03-13",15.1256
"2019-03-14",41.5164
"2019-03-15",34.7504
"2019-03-16",22.1555
"2019-03-17",16.3847
"2019-03-18",14.1809
"2019-03-19",12.9579
"2019-03-20",12.509
"2019-03-21",11.821
"2019-03-22",11.9803
"2019-03-23",12.1253
"2019-03-24",11.5263
"2019-03-25",11.0955
"2019-03-26",14.1786
"2019-03-27",10.5949
"2019-03-28",9.148
"2019-03-29",8.1179
"2019-03-30",7.9932
"2019-03-31",7.9065
"2019-04-01",8.3917
"2019-04-02",7.8472
"2019-04-03",7.5094
"2019-04-04",7.3922
"2019-04-05",7.0172
"2019-04-06",6.5522
"2019-04-07",6.2581
"2019-04-08",5.7253
"2019-04-09",5.1189
"2019-04-10",3.438
"2019-04-11",6.9515
"2019-04-12",4.9704
"2019-04-13",6.1871
"2019-04-14",5.4208
"2019-04-15",4.1006
"2019-04-16",3.3502
"2019-04-17",3.0212
"2019-04-18",2.7224
"2019-04-19",2.3038
"2019-04-20",2.0434
"2019-04-21",1.5378
"2019-04-22",1.0668
"2019-04-23",0.9864
"2019-04-24",1.0562
"2019-04-25",0.7292
"2019-04-26",0.4619
"2019-04-27",0.2153
"2019-04-28",0.0771
"2019-04-29",0.0156
"2019-04-30",0.0054
"2019-05-01",0.005