date,precipitation
2019-04-01,0
2019-04-02,0.042456138
2019-04-03,0.220566882
2019-04-04,0.355389313
2019-04-05,0.415489168
2019-04-06,0
2019-04-07,0
2019-04-08,0.004950069
2019-04-09,0.146063101
2019-04-10,0.023135537
2019-04-11,0.178034522
2019-04-12,0
2019-04-13,0
2019-04-14,0
2019-04-15,0.220092045
2019-04-16,1.429856204
2019-04-17,1.774243873
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,0.00115812
2019-04-22,1.551817247
2019-04-23,2.756012077
2019-04-24,0.232089868
2019-04-25,0.095361645
2019-04-26,0
2019-04-27,0
2019-04-28,0
2019-04-29,1.802786495
2019-04-30,1.432858128
2019-05-01,0.586337315
2019-05-02,0
2019-05-03,0
2019-05-04,0
2019-05-05,0
2019-05-06,2.639800682
2019-05-07,7.089144246
2019-05-08,3.031882754
2019-05-09,0.599123837
2019-05-10,4.379258288
2019-05-11,0
2019-05-12,0
2019-05-13,0
2019-05-14,0
2019-05-15,0
2019-05-16,4.405682625
2019-05-17,0
2019-05-18,0
2019-05-19,5.809739474
2019-05-20,2.649489956
2019-05-21,0.160907817
2019-05-22,0.134339336
2019-05-23,0
2019-05-24,0
2019-05-25,0
2019-05-26,1.219695816
2019-05-27,0
2019-05-28,0
2019-05-29,0
2019-05-30,0.821876383
2019-05-31,0
2019-06-01,0